traits	PA
B/Houston/B850/2005_2005-01-12	Y
B/Tianjin-Hexi/180/2011_2011-02-28	Y
B/Florida/UR06-0006/2006_2006-11-27	Y
B/Jiangsu-Chongchuan/11150/2011_2011-06-27	Y
B/Colorado/13/2004_2004-12-14	Y
B/Utah/03/2011_2011-02-21	Y
B/Hong_Kong/167/2002_2002-01-03	Y
B/Taiwan/634/2001_2001-02-28	Y
B/Hong_Kong/553a/2003_2003-03-31	Y
B/Anhui-Huashan/1216/2011_2011-05-10	Y
B/Shanghai-Luwan/1188/2011_2011-04-12	Y
B/Ohio/UR06-0428/2007_2007-02-26	Y
B/Beijing-Huairou/1338/2011_2011-03-10	Y
B/Guangdong-Luohu/1512/2010_2010-06-21	Y
B/Hunan-Louxing/160/2011_2011-03-14	Y
B/Texas/UR06-0541/2007_2007-03-06	Y
B/Alaska/16/2000_2000-11-22	Y
B/Mississippi/UR06-0477/2007_2007-03-01	Y
B/Tennessee/UR06-0320/2007_2007-02-15	Y
B/Guangxi-Xixiangtang/1455/2010_2010-06-18	Y
B/North_Carolina/03/2011_2011-01-05	Y
B/Guangdong-Chikan/1155/2011_2011-05-03	Y
B/Bangkok/141/1994_1994-05-07	Y
B/Temple/B1193/2001_2001	Y
B/Shangdong/7/97_1997	Y
B/Oita/15/92_1992-10-16	Y
B/Illinois/UR06-0516/2007_2007-03-05	Y
B/Taiwan/2894/2006_2006-11-23	Y
B/Jilin/20/2003_2003	Y
B/Shanghai-Zhangning/1423/2010_2010-06-11	Y
B/VICTORIA/304/2006_2006-06-06	Y
B/Indiana/01/1995_1995	Y
B/Shaanxi-Beilin/1165/2011_2011-02-15	Y
B/Shanghai-Pudongxin/1467/2010_2010-05-05	Y
B/Florida/02/2006_2006-01-09	Y
B/Houston/B56/1997_1997-01-27	Y
B/Managua/2826.02/2010_2010-08-11	Y
B/Taiwan/1197/94_1994-05-12	Y
B/Wisconsin/03/2012_2012	Y
B/Houston/B88/2003_2003-01-17	Y
B/Taiwan/202/2005_2005	Y
B/Chongqing-Wanzhou/1294/2011_2011-06-18	Y
B/Taiwan/417/2005_2005-01-28	Y
B/Washington/04/2011_2011-03-04	Y
B/Managua/4577.01/2008_2008-06-02	Y
B/Taiwan/91061/2005_2005-11-16	Y
B/Taiwan/40/2007_2007-01-13	Y
B/Managua/1873.01/2010_2010-06-15	Y
B/Alaska/12/96_1996-10-28	Y
B/Taiwan/71523/2007_2007-08-06	Y
B/Managua/2630.01/2010_2010-08-29	Y
B/Beijing-Xicheng/1267/2011_2011-02-27	Y
B/Shanghai-Luwan/187/2011_2011-02-15	Y
B/Hunan-Hengnan/35/2011_2011-06-29	Y
B/Virginia/01/2011_2011-01-25	Y
B/Temple/B7/1999_1999-02-11	Y
B/Taiwan/70028/2007_2007-01-04	Y
B/Taiwan/3395/2004_2004-12-31	Y
B/Temple/B8/1999_1999-02-05	Y
B/Temple/B18/2003_2003	Y
B/Shanghai-Zhangning/1133/2011_2011-02-24	Y
B/Connecticut/07/1993_1993-01-26	Y
B/Tennessee/UR06-0105/2007_2007-01-29	Y
B/Temple/B1182/2001_2001	Y
B/Temple/B30/2003_2003	Y
B/Managua/4834.02/2010_2010-08-03	Y
B/Hong_Kong/03/1992_1992-03-23	Y
B/Hunan-Yuhu/134/2011_2011-03-02	Y
B/Tennessee/UR06-0407/2007_2007-02-23	Y
B/Temple/B24/2003_2003	Y
B/Jiangsu-Beitang/1135/2011_2011-04-05	Y
B/Pennsylvania/PIT59/2008_2008-03-15	Y
B/PHILIPPINES/2533/2011_2011-07-27	Y
B/Michigan/01/2009_2009-04-04	Y
B/Taiwan/3246/2002_2002-06-13	Y
B/Managua/164.02/2010_2010-07-26	Y
B/Houston/B71/2002_2002-02-23	Y
B/Maryland/1/01_2001	Y
B/Temple/B21/2003_2003	Y
B/Chongqing-Wanzhou/1162/2011_2011-03-15	Y
B/North_Carolina/18/2011_2011-02-07	Y
B/Managua/4437.01/2010_2010-10-02	Y
B/Romania/318/1998_1998-04-06	Y
B/Moscow/3/03_2003	Y
B/Guangxi-Xixiangtang/1545/2010_2010-08-16	Y
