traits	PB1
B/Houston/B84/2003_2003-01-15	V
B/Guatemala/52/2012_2012-02-19	V
B/Taiwan/91061/2005_2005-11-16	V
B/Lisbon/02/1994_1994-10-26	V
B/Brisbane/60/2008_2008-08-04	V
B/Florida/02/2006_2006-01-09	V
B/Hong_Kong/70/1996_1996	V
B/Hong_Kong/310/2004_2004-11-24	V
B/Jiangxi-Donghu/1329/2010_2010-04-01	V
B/Mississippi/UR06-0477/2007_2007-03-01	V
B/Hawaii/10/2001_2001-05-09	V
B/Temple/B19/2003_2003	V
B/Hong_Kong/553a/2003_2003-03-31	V
B/Managua/5839.01/2010_2010-09-04	V
B/Houston/B81/2003_2003-01-16	V
B/Texas/UR06-0343/2007_2007-02-19	V
B/Managua/5549.04/2010_2010-09-17	V
B/Hong_Kong/28/2001_2001-01-22	V
B/Hunan-Lusong/1325/2011_2011-05-11	V
B/Hong_Kong/330/2001_2001	V
B/Cordoba/2979/1991_1991-06-13	V
B/Washington/04/2011_2011-03-04	V
B/Shanghai-Fengxian/1550/2010_2010-09-05	V
B/Ibaraki/2/85_1985	V
B/Hunan-Suxian/56/2011_2011-04-11	V
B/Taiwan/11/2010_2010-04-06	V
B/Managua/6006.03/2010_2010-08-05	V
B/Mississippi/UR06-0551/2007_2007-03-08	V
B/VICTORIA/500/2012_2012-02-26	V
B/Nanchang/2/97_1997	V
B/Chiba/447/98_1998	V
B/Norway/24/2011_2011-01-04	V
B/Shanghai-Luwan/1135/2011_2011-03-13	V
B/Managua/2630.01/2010_2010-08-29	V
B/Hawaii/13/2004_2004-06-21	V
B/Brisbane/60-12/2010_2010-10-09	V
B/California/NHRC0004/2006_2006-02-28	V
B/Sichuan-Jinjiang/277/2011_2011-03-16	V
B/Hong_Kong/02/1993_1993-02-15	V
B/Los_Angeles/1/02_2002	V
B/Brisbane/60-6/2010_2010-09-13	V
B/Shanghai-Baoshan/193/2011_2011-03-07	V
B/Tennessee/UR06-0431/2007_2007-02-26	V
B/Houston/B74/2002_2002-03-18	V
B/Czechoslovakia/69/1990_1990	V
B/Taiwan/1734/2006_2006-12-22	V
B/Fujian-Licheng/118/2010_2010-07-09	V
B/Shanghai-Chongming/1411/2010_2010-07-12	V
B/SYDNEY/508/2010_2010-10-11	V
B/Taiwan/2894/2006_2006-11-23	V
B/Temple/B18/2003_2003	V
B/Texas/07/2011_2011-03-04	V
B/Shangdong/7/97_1997	V
B/Chongqing-Wanzhou/1162/2011_2011-03-15	V
B/Hunan-Yuhua/1265/2011_2011-05-03	V
B/Brisbane/60-5/2010_2010-12-01	V
B/North_Carolina/WRAIR1582P/2009_2009-03	V
B/Houston/1/91_1991	V
B/Malaysia/2506/2004_2004	V
B/North_Carolina/23/2011_2011-02-18	V
B/Bangkok/153/1990_1990	V
B/Brisbane/32/2002_2002	V
B/Taiwan/1484/2001_2001-05-25	V
B/Bangladesh/5945/2009_2009-09-30	V
B/Managua/1499.02/2010_2010-10-05	V
B/Brisbane/60-4/2010_2010-10-09	V
