state	root	nonSwedish
4940000	None	1998.126235039856
4960000	None	1999.0078001663371
4980000	None	2000.9444378118199
5000000	None	2000.1214938745475
5020000	1964.9259602117165	2001.6889689807927
5040000	None	2001.4851994408402
5060000	1964.6589690020369	2000.8650512484135
5080000	None	2002.4808052707965
5100000	None	2004.3732720741307
5120000	1965.048178284917	2001.7232852904294
5140000	1957.0000981878234	2003.335384092713
5160000	1966.4496039726362	2005.3331330428546
5180000	1954.0478728535468	2001.8155474965342
5200000	None	1998.4924207023687
5220000	1950.2551548734396	1999.4067365809155
5240000	1934.037743646139	1994.7496925185303
5260000	1939.734558021053	2002.9096413464479
5280000	None	1996.5891324799231
5300000	1946.276154866093	1998.7820162248402
5320000	1956.6448755688623	2001.3993694857666
5340000	1955.3622856580191	2000.1342876203066
5360000	None	1998.7922359525687
5380000	1950.1893057161885	2000.3945765375104
5400000	None	2000.4911926762713
5420000	1957.1964823088917	2003.6012020867252
5440000	1964.2445046855744	2002.1820442247226
5460000	None	2001.437777064759
5480000	1951.9784515191113	2003.7113736039878
5500000	1961.1802717301334	2003.0957682693827
5520000	1962.1053974372992	2002.216038901154
5540000	1955.0498512557592	2004.5258284358167
5560000	1968.422863458789	2002.9962980995049
5580000	1964.255635741768	2004.8713654320086
5600000	1959.694345592079	2003.121046312431
5620000	1960.9361545234513	2000.3351960016244
5640000	None	2001.0307844353135
5660000	1948.4758478495332	1999.6342678940748
5680000	1950.8854900730735	2000.0957046645724
5700000	None	2003.1576087897472
5720000	1954.6158934202015	2001.6204386313946
5740000	None	2003.608938365549
5760000	None	2002.3764099121847
5780000	1952.4965653927252	2001.1574674431263
5800000	None	1999.949605628247
5820000	None	1999.7135989319036
5840000	None	1998.6942111231635
5860000	1935.7997300008542	1998.814632435831
5880000	1944.0662742873483	1996.207888632744
5900000	1948.5662315882232	1999.6295448502765
5920000	None	2000.7704328408959
5940000	1947.3443540941382	2002.5289319910958
5960000	None	2001.659516670287
5980000	None	1999.8343460464748
6000000	1952.4334673136646	2002.818716839835
6020000	1946.6561504572792	2001.5704984754877
6040000	None	2000.8914414376209
6060000	None	2000.6630972562614
6080000	1961.317448239013	2005.5961008596853
6100000	None	2003.8961984860714
6120000	None	2005.0258919087505
6140000	None	2003.1311981880867
6160000	1960.716423387832	2002.4891657445105
6180000	1963.9081659987219	2003.569248250349
6200000	None	2004.2221223528545
6220000	1959.4734927301295	2002.8456092900915
6240000	None	2005.1324491767166
6260000	1952.059869193513	2001.3240343750306
6280000	1958.3713698562724	2004.4057172071748
6300000	1955.9426665262397	2004.4918515605175
6320000	1963.7933167658587	2001.0524422815474
6340000	1948.8161044459662	2001.9440134744796
6360000	1951.6059977349325	1999.501755347488
6380000	None	1997.52264719939
6400000	1947.6389312703088	2002.8947616295707
6420000	1960.610128074618	2003.4489725348828
6440000	None	2003.4645323555628
6460000	None	2001.6980443773348
6480000	1955.2729386330132	2001.2598273217766
6500000	None	1999.4745603060428
6520000	None	2000.764049428589
6540000	1948.8719596923083	1999.5435840388313
6560000	1942.7842071595062	1999.2202888328572
6580000	None	1998.8400439921181
6600000	None	2000.3365731147655
6620000	None	1997.6784188809286
6640000	None	1998.7980091550148
6660000	None	1999.5720890443863
6680000	1923.8627799179858	1998.1767975600583
6700000	None	1999.8343539647724
6720000	1946.9901215895736	1999.106329099061
6740000	1948.119065066177	2001.0755032432248
6760000	1959.5087758410143	2002.7195974189317
6780000	1964.4523189886431	2004.7009613104658
6800000	None	2004.7137215712485
6820000	None	2005.324627525452
6840000	1955.8800924827594	2003.0832656598948
6860000	1956.882023633593	2002.7635912666872
6880000	1951.7469168436037	1999.8740549426864
6900000	1957.0324787709153	2002.1471808868462
6920000	None	1999.1836579327562
6940000	None	2000.5879088766505
6960000	1954.6388495672104	2000.7907928422267
6980000	None	1999.3575037951075
7000000	None	1999.0521156881189
7020000	None	2000.4936758367066
7040000	1949.7727829660475	1999.1445593146582
7060000	1946.8176896216019	1999.802337339377
7080000	1949.5281293316252	1999.987566826408
7100000	1951.8263003749933	1998.7127370623077
7120000	1944.4308574671136	1999.154369735187
7140000	1958.4374163767818	2001.572194075868
7160000	1961.564794736412	2002.4216810753337
7180000	1954.3544883816771	2002.3737196187037
7200000	None	2000.6670195256263
7220000	1940.0419151911265	1999.886927018962
7240000	None	2000.0628761756034
7260000	1954.7039889839093	2001.7174966808186
7280000	None	2003.000249174287
7300000	None	2000.821030609274
7320000	1954.4422565547745	2000.3627012426543
7340000	1956.9154900344063	2002.1060367657963
7360000	None	2001.249795292069
7380000	1959.9965895509326	2003.3791821502975
7400000	None	2002.6704612854044
7420000	None	2001.4404831645913
7440000	1957.0745288035002	2003.0243225895938
7460000	1949.917995706174	2002.8999754121378
7480000	1966.7567873110547	2005.5128510565612
7500000	1963.008963899386	2003.8413676475136
7520000	1969.1005767122474	2004.957366543177
7540000	1966.2410854868954	2004.1503173183323
7560000	None	2005.3657063681167
7580000	None	2005.3456849660088
7600000	1964.0161859401378	2005.1560593477454
7620000	1965.200900263004	2003.9020664293757
7640000	1949.6014810842012	2001.1288585685502
7660000	1959.8801064675629	2002.8257062749847
7680000	1962.67814206847	2003.8103099895793
7700000	1965.726049130246	2003.7753218674668
7720000	1965.360353017433	2004.8792252894345
7740000	1963.6563348056743	2003.8272302307116
7760000	1960.6862796585742	2003.1294929849842
7780000	None	2002.9562470600356
7800000	None	2003.7066023365874
7820000	1951.8317677963505	2001.52008011561
7840000	1956.9052298214287	2002.0981720510315
7860000	1951.8072811442669	2001.3344658165984
7880000	1943.0650906349754	1999.1108652221374
7900000	None	2001.8803370381604
7920000	None	2001.6238738271627
7940000	1959.9468662803417	2002.6706655656778
7960000	1961.5652578208737	2003.977457896046
7980000	None	2004.6631641500278
8000000	None	2004.1767297785539
8020000	None	2003.8875176015306
8040000	1965.2374942358008	2004.3746063712651
8060000	1963.080470594992	2002.8917058272682
8080000	None	2001.943024086373
8100000	None	2001.3671641298429
8120000	1949.3862282811667	1999.3631506885488
8140000	None	2001.10154655107
8160000	None	2001.818559164059
8180000	1959.1402187574488	2003.6118490129631
8200000	None	2003.7802069621794
8220000	None	2003.7981115224475
8240000	1964.4812932413283	2003.5657245318384
8260000	None	2004.7592997566362
8280000	1958.851040067296	2002.4439487984394
8300000	1951.897912911846	2000.7407108925065
8320000	None	2003.1963289989267
8340000	1958.5624852828432	2002.9664386354907
8360000	None	2000.2834523309534
8380000	1952.1919046156497	2002.2097962269513
8400000	None	2004.8191501028077
8420000	1958.8999731604276	2002.7635387669268
8440000	1965.839108154002	2004.8537341462375
8460000	None	2003.3410472437615
8480000	1964.252224910265	2004.082384192314
8500000	None	2004.0671168821877
8520000	1962.8967935532933	2004.3297593172247
8540000	1962.6504305346155	2004.3181374373212
8560000	None	2004.1760309045835
8580000	1964.9243612207554	2003.111350501724
8600000	None	2001.9193992033117
8620000	1963.7642845227867	2000.9309267832282
8640000	None	2005.0151040926362
8660000	None	2001.9874443643455
8680000	None	2000.0447550595657
8700000	1960.4769052337251	2001.445643563862
8720000	None	2003.842867751531
8740000	1950.271792020047	2001.594964604806
8760000	None	1996.1756621980742
8780000	None	2000.3117886979155
8800000	None	1999.494594349752
8820000	None	1999.0143111068223
8840000	1946.1470975687055	1998.904354389264
8860000	None	2000.8056188650064
8880000	1956.9363276699319	2002.4639264807865
8900000	None	2003.4750444259414
8920000	1956.9470137420724	2003.2037686635124
8940000	None	2001.705924882276
8960000	1943.735457962694	2002.4010258028857
8980000	None	2001.7573791893979
9000000	1936.0755961258124	2000.4128016858042
9020000	None	1995.2840867942969
9040000	1940.3714986773334	2000.1371866830507
9060000	1943.951682932469	1996.8707252262695
9080000	1935.591294719382	1999.06275925138
9100000	1951.6600571601841	2001.0120360415183
9120000	None	2002.9912413388597
9140000	None	2004.6362376602115
9160000	None	2006.2145949888268
9180000	1954.949960631352	2003.4213646701694
9200000	None	2000.9029441558919
9220000	1956.1343844583175	2003.30317504602
9240000	1947.3700202146597	1999.4987696812734
9260000	1945.2023988269902	2000.960394876444
9280000	1958.8632248605822	2004.3588475439328
9300000	None	2004.816167117081
9320000	1957.7731992432807	2006.604593954781
9340000	None	2004.8205691752444
9360000	1957.8426820936518	2004.3934277582614
9380000	None	2004.8966742618616
9400000	None	2004.7924788566838
9420000	None	2004.9907570358116
9440000	1947.2619574647874	2001.6091483261207
9460000	1958.7189405210875	2001.991409555948
9480000	1952.1675272941243	1998.2406815885581
9500000	1951.6688247912355	2000.4582274760096
9520000	None	2000.0538143067336
9540000	1944.1644424687288	1995.6019368510329
9560000	1950.5647596927727	1997.573659907869
9580000	1933.244121729951	2001.5493977717283
9600000	1937.6160126687682	1996.4227853640148
9620000	1936.7148477635542	1994.686756708412
9640000	1930.4149561454487	1994.7776451847114
